StudentID,ELScore17,MAScore17,ELScore16,MAScore16,ELScore15,MAScore15
9502493974,1363,1398,1275,1294,1263,1278
32228009,1463,1464,1359,1385,1276,1286
47679939,1495,1516,1390,1415,1292,1321
194922710,1519,1519,1412,1431,1304,1326
266434673,1492,1465,1385,1364,1297,1266
464633030,1480,1468,1387,1360,1299,1277
667187234,1501,1469,1388,1383,1298,1304
1564668597,1479,1489,1367,1403,1292,1313
1615859578,1467,1459,1383,1389,1309,1286
1699297331,1477,1475,1389,1381,1283,1273
2236373999,1538,1516,1430,1429,1339,1340
2383857903,1479,1487,1403,1403,1286,1284
2663381832,1467,1510,1391,1392,1278,1287
2909099823,1483,1483,1395,1389,1285,1293
3181151422,1522,1503,1412,1399,1311,1301
3197211337,1466,1475,1355,1371,1276,1301
4220303219,1503,1497,1398,1384,1312,1295
4793710579,1548,1516,1429,1421,1321,1330
5376948228,1485,1470,1388,1392,1274,1281
5474029517,1483,1467,1374,1395,1260,1286
5537057687,1479,1473,1371,1394,1298,1302
5587907684,1480,1448,1386,1390,1286,1301
5690243304,1497,1469,1396,1390,1298,1284
5929765466,1486,1436,1370,1376,1322,1309
6035344167,1492,1503,1394,1415,1304,1313
6376613695,1487,1469,1378,1377,1326,1304
7267263144,1524,1488,1399,1397,1296,1289
7328796408,1503,1470,1390,1380,1300,1282
7737148600,1504,1453,1383,1379,1286,1252
7808877642,1481,1486,1388,1413,1281,1288
8139815904,1524,1487,1422,1396,1331,1309
8248522471,1546,1514,1423,1432,1336,1349
8647301952,1495,1506,1381,1396,1285,1287
8652941690,1515,1481,1399,1390,1323,1316
8732133518,1464,1461,1339,1366,1271,1287
8821586012,1492,1491,1386,1411,1302,1302
8947474234,1516,1491,1417,1414,1310,1304
9399592653,1481,1471,1374,1379,1276,1282
9631151117,1524,1490,1403,1404,1314,1302